,source_taxon_name,latitude,longitude,ISO_A2,NAME_ES,searched_taxon_name,target_taxon_name,country_name,Estatus.Taxonómico,Nombre.Válido,Autoridad,Rango.Taxonómico,Familia,Forma.biológica
18075,Xylocopa sonorina,37.42039169,-122.0169002,US,Estados Unidos,Foeniculum vulgare,Foeniculum vulgare,Estados Unidos,Aceptado,Foeniculum vulgare,Mill.,Especie,Apiaceae,Herbácea
18265,Xylocopa sonorina,38.02100283,-121.90718,US,Estados Unidos,Fraxinus latifolia,Fraxinus latifolia,Estados Unidos,Aceptado,Fraxinus latifolia,Benth.,Especie,Oleaceae,Árbol
18291,Xylocopa sonorina,33.73401197,-116.5374544,US,Estados Unidos,Funastrum hirtellum,Funastrum hirtellum,Estados Unidos,Aceptado,Funastrum hirtellum,(A. Gray) Schltr.,Especie,Apocynaceae,Arbusto|Herbácea
18303,Xylocopa sonorina,38.172698,-122.2545254,US,Estados Unidos,Gaillardia,Gaillardia,Canadá|Estados Unidos,Aceptado,Gaillardia,Foug.,Género,Asteraceae,Herbácea
18440,Xylocopa sonorina,37.38657006,-122.0772329,US,Estados Unidos,Gaillardia,Gaillardia,Canadá|Estados Unidos,Aceptado,Gaillardia,Foug.,Género,Asteraceae,Herbácea
18612,Xylocopa sonorina,33.48210498,-112.3036086,US,Estados Unidos,Gaillardia pulchella,Gaillardia pulchella,Estados Unidos|México,Aceptado,Gaillardia pulchella,Foug.,Especie,Asteraceae,Herbácea
19206,Xylocopa sonorina,37.386052,-122.083851,US,Estados Unidos,Glandularia lilacina,Glandularia lilacina,Estados Unidos,Aceptado,Glandularia lilacina,(Greene) Umber,Especie,Verbenaceae,Arbusto|Herbácea
19552,Xylocopa varipuncta,38.39672,-121.58899,US,Estados Unidos,Grindelia hirsutula,Grindelia hirsutula,Estados Unidos,Aceptado,Grindelia hirsutula,Hook. & Arn.,Especie,Asteraceae,Herbácea
20075,Xylocopa sonorina,37.4714944,-122.2240431,US,Estados Unidos,Hebe,Hebe,Estados Unidos,Sinónimo,Veronica,L.,Género,Plantaginaceae,Herbácea
20129,Xylocopa sonorina,37.386052,-122.083851,US,Estados Unidos,Helenieae,Helenieae,Estados Unidos,Aceptado,Helenieae,Lindl.,Tribu,Asteraceae,
20386,Xylocopa varipuncta,31.34444,-109.52779,US,Estados Unidos,Helianthus,Helianthus,Canadá|Estados Unidos|India|México,Aceptado,Helianthus,L.,Género,Asteraceae,Herbácea
22013,Xylocopa sonorina,37.89405,-122.0645305,US,Estados Unidos,Hemerocallis,Hemerocallis,Canadá|Estados Unidos,Aceptado,Hemerocallis,L.,Género,Asphodelaceae,Herbácea
22014,Xylocopa sonorina,37.40269667,-122.1011417,US,Estados Unidos,Hemerocallis lilioasphodelus,Hemerocallis lilioasphodelus,Estados Unidos,Aceptado,Hemerocallis lilioasphodelus,L.,Especie,Asphodelaceae,Herbácea
22707,Xylocopa sonorina,33.97051333,-117.9380017,US,Estados Unidos,Hirschfeldia incana,Hirschfeldia incana,Estados Unidos,Aceptado,Hirschfeldia incana,(L.) Lagr.-Fossat,Especie,Brassicaceae,Herbácea
23520,Xylocopa sonorina,37.87623333,-122.2676867,US,Estados Unidos,Ipomoea,Ipomoea,Argentina|Costa Rica|Estados Unidos|Guatemala|México,Aceptado,Ipomoea,L.,Género,Convolvulaceae,Arbusto|Herbácea|Trepador
23536,Xylocopa sonorina,37.95362375,-122.0472207,US,Estados Unidos,Ipomoea,Ipomoea,Argentina|Costa Rica|Estados Unidos|Guatemala|México,Aceptado,Ipomoea,L.,Género,Convolvulaceae,Arbusto|Herbácea|Trepador
23612,Xylocopa sonorina,37.97656579,-122.5669291,US,Estados Unidos,Iris,Iris,Canadá|Estados Unidos,Aceptado,Iris,L.,Género,Iridaceae,Herbácea
23613,Xylocopa sonorina,37.2482763,-121.9363005,US,Estados Unidos,Iris,Iris,Canadá|Estados Unidos,Aceptado,Iris,L.,Género,Iridaceae,Herbácea
23621,Xylocopa sonorina,37.8193591,-122.2726643,US,Estados Unidos,Iris,Iris,Canadá|Estados Unidos,Aceptado,Iris,L.,Género,Iridaceae,Herbácea
23628,Xylocopa sonorina,37.6687665,-122.0809964,US,Estados Unidos,Iris,Iris,Canadá|Estados Unidos,Aceptado,Iris,L.,Género,Iridaceae,Herbácea
23633,Xylocopa sonorina,37.2468888,-121.9362997,US,Estados Unidos,NA,Iris × germanica,NA,NA,NA,NA,NA,NA,NA
23650,Xylocopa sonorina,37.24795176,-121.9364722,US,Estados Unidos,Iris pseudacorus,Iris pseudacorus,Canadá|Estados Unidos,Aceptado,Iris pseudacorus,L.,Especie,Iridaceae,Herbácea
